"","Species.name","common.name","taxa_smaller","taxa_big","present.in.BC","established.in.BC","established.in.Canada","native.to.part.of.BC","source.region.to.BC","hitlist..according.to.Therriault.and.Webb.","ornamental.nursery.trade","aquarium.pet..trade","live.food.market","biological.supply","aquaculture","fish.stocking","recreational.boating","bait.industry","shipping.and.ballast","canals.and.diversions","adjacent.region","if.adjacent..where","exotic.to.NA","invasive.in.NA","globally.invasive","Listed.in.publications","Risk.assessment.pubs","impact.other.pubs","X","X.1","X.2","X.3","X.4","wos","wos_pet_trade","wos_live_trade","wos_bait","wos_biol_supply","wos_aquaculture","wos_stocking","wos_boating","wos_shipping","wos_canal","wos_spread_adj","wos_bc","wos_salmon","wos_impact"
"23","Atractosteus spatula ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","","","","Mandrak et al. 2014","","","not climate match to canada","family climate match ",NA,5,"",5,4,0,0,0,7,17,0,0,0,0,0,0,0
"24","Azolla caroliniana","Eastern mosquito fern","fern","aquatic plant","yes","","","no","","","","","","","","","","",NA,NA,"","","","","","BC Ministry List","","","","",NA,6,"",6,0,0,0,1,3,1,0,0,1,0,0,0,0
"25","Azolla filiculoides","Large mosquito fern","fern","aquatic plant","yes","","","no","","","","","","","","","","",NA,NA,"","","","","","BC Ministry List","","","","",NA,86,"",86,3,1,0,1,16,1,0,0,7,0,0,0,2
"26","Bacopa australis","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","",NA,1,"",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","(Bacopa caroliniana OR Bacopa amplexicaulis)","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015, Cohen et al. 2007","Azan et al. 2015","","Moderately Low","",NA,11,"",1,1,0,0,0,0,0,0,0,1,0,0,0,0
"28","Bacopa monnieri ","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Cohen et al. 2007","","","","",NA,9,"",11,9,0,0,0,16,2,0,0,0,0,0,0,0
"29","Barbonymus altus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","","","","Mandrak et al. 2014","","","not climate match to canada","family climate match ",NA,1,"",1,0,0,0,0,0,0,0,0,1,0,0,0,0
"30","Barbonymus schwanenfeldii ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","","","","Mandrak et al. 2014","","","not climate match to canada","family climate match ",NA,4,"",4,4,0,0,0,2,1,0,0,0,0,0,0,1
"31","Barclaya","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Low","",NA,1,"",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","(Barclaya longifolia OR Hydrostemma longifolium)","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Low","",NA,3,"",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","(Bellamya chinensis  OR Cipangopaludina chinensis)","Chinese Mysterysnail ","mollusc","invertebrate","yes","","yes","no","","","","","","","","","","",NA,NA,"yes","Washington","yes","yes","yes?","Schroeder et al. 2014, BC Ministry List","","(Olden et al. 2009)","","",NA,NA,"",33,4,0,0,0,1,1,5,2,2,2,0,0,0
"34","(Bellamya japonica OR Cipangopaludina japonica)","Japanese Mysterysnail ","mollusc","invertebrate","","","yes","","","","","","","","","","","",NA,NA,"","","","","","Schroeder et al. 2014","","","net fouler","",NA,7,"",6,0,0,0,0,0,0,1,0,0,0,0,0,0
"35","Betta splendens","Siamese fighting fish","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","","","","Gertzen et al. 2007","","","","",NA,15,"",15,38,4,0,2,12,13,0,0,2,0,0,0,0
"36","Biomphalaria alexandrina ","","mollusc","invertebrate","","","Unknown ","","","","","yes","","","","","","",NA,NA,"","","yes","no","no","Schroeder et al. 2014, DFO SLRA 2014","","","","",NA,NA,"",12,0,0,3,2,0,0,0,0,5,0,0,0,0
"37","Biomphalaria glabrata ","Bloodfluke Planorb ","mollusc","invertebrate","","","Unknown ","","","","","yes","","","","","","",NA,NA,"","","yes","yes?","no","Schroeder et al. 2014, DFO SLRA 2014","","","","",NA,NA,"",112,21,2,5,4,49,33,0,1,14,3,0,0,4
"38","Biomphalaria pfeifferi ","","mollusc","invertebrate","","","No ","","","","","yes","","","","","","",NA,NA,"","","yes","no","no","Schroeder et al. 2014, DFO SLRA 2014","","","","",NA,NA,"",19,7,0,1,0,6,4,1,0,17,1,0,0,1
"39","Biomphalaria straminea ","","mollusc","invertebrate","","","No ","","","","","yes","","","","","","",NA,NA,"","","yes","no","yes","Schroeder et al. 2014, DFO SLRA 2014","","","","",NA,NA,"",32,2,0,0,0,5,0,0,0,1,0,0,0,1
"40","Bithynia tentaculata ","Faucet Snail ","mollusc","invertebrate","","","yes","","","","","yes","","","","","","",NA,NA,"yes","Montana","yes","yes","no","Schroeder et al. 2014","Harman 2000; Haynes et al. 2005","Sanland and Pierce 2021","","",NA,NA,"",30,2,0,0,0,0,1,5,4,1,2,0,0,0
"41","Bletilla striata","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Low","",NA,4,"",4,1,0,0,0,7,1,0,0,2,0,0,0,0
"42","Bosmina coregoni","water flea","cladocera","zooplankton","","","","","","","","","","","","","","",NA,NA,"yes","Washington","yes","yes","no","","Lee et al. 2016","","","",NA,NA,"",12,0,0,0,0,1,3,0,1,1,0,0,0,0
"43","Brachygobius doriae ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","","","","Mandrak et al. 2014","","","not climate match to canada","family climate match ",NA,1,"",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","Bulinus truncatus ","","mollusc","invertebrate","","","Unknown ","","","","","yes","","","","","","",NA,NA,"","","yes","no","no","Schroeder et al. 2014, DFO SLRA 2014","","","","",NA,NA,"",17,1,0,1,0,2,1,0,0,15,0,0,0,0
"45","Butomus umbellatus","Flowering-rush","rush","aquatic plant","yes","","","no","","","","","","","","","","",NA,NA,"","","","","","BC Ministry List","","","","",NA,31,"",31,0,0,0,0,2,0,2,0,2,5,1,0,0
"46","Cabomba aquatic","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015, Cohen et al. 2007","Azan et al. 2015","","Moderately Low","",NA,41,"",41,8,0,0,0,2,0,4,0,4,0,0,0,0
"47","Cabomba caroliniana","","","aquatic plant","","","yes","","","","yes","","","","","","","",NA,NA,"","","","","","Keller and Lodge 2007, Cohen et al. 2007 ","","","","",NA,39,"",39,8,0,0,0,2,0,4,0,7,0,0,0,0
"48","Cabomba palaeformis","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","",NA,1,"",1,0,0,0,0,1,0,0,0,0,0,0,0,0
