,Species.name,common.name,taxa_smaller,taxa_big,present.in.BC,established.in.BC,established.in.Canada,native.to.part.of.BC,source.region.to.BC,hitlist..according.to.Therriault.and.Webb.,ornamental.nursery.trade,aquarium.pet..trade,live.food.market,biological.supply,aquaculture,fish.stocking,recreational.boating,bait.industry,shipping.and.ballast,canals.and.diversions,adjacent.region,if.adjacent..where,exotic.to.NA,invasive.in.NA,globally.invasive,Listed.in.publications,Risk.assessment.pubs,impact.other.pubs,wos,wos_pet_trade,wos_live_trade,wos_bait,wos_biol_supply,wos_aquaculture,wos_stocking,wos_boating,wos_bc,wos_shipping,wos_canal,wos_spread_adj,sum_vector
56,Lepisosteus oculatus ,Spotted gar,gar,fish,,yes,yes,,,,,yes,,,,,,,NA,NA,,,no,yes,no,Mandrak et al 2014,,,6,1,0,1,0,1,6,0,0,0,5,1,14
41,Percopsis omiscomaycus,trout-perch,perch,fish,,,,,,,,,,,,,,,NA,NA,,,no,yes,no,Crossman 1991,,,6,0,0,0,0,0,2,1,0,0,0,7,3
31,Pomoxis annularis ,White crappie ,crappie,fish,,,,,,No,,,,,,,,,NA,NA,yes,Montana,no,yes,no,Therriault and Webb 2017,Therriault and Webb 2017,Clancy and Bourret 2020,5,1,0,0,0,2,26,0,0,1,2,3,32
129,Channa maculata,Blotched snakehead,snakehead,fish,yes,,,,,,,,yes,,,,,,NA,NA,,,yes,yes,no,BC Ministry List,,Roy et al. 2018,5,2,1,0,0,9,1,0,0,0,0,0,13
19,Richardsonius balteatus,Redside shiner,shiner,fish,yes,,,yes,Alberta,,,,,,,,,,NA,NA,yes,Montana,no,yes,no,"Crossman 1991, BC Ministry List",,Clancy and Bourret 2020,5,1,1,0,0,0,0,0,6,0,0,7,8
107,Cobitis taenia ,Spined loach,loach,fish,,yes,no,,,,,yes,,,,,,,NA,NA,,,yes,no,no,Mandrak et al 2014,,,5,3,0,0,0,2,1,0,0,0,1,0,7
33,Lepomis gulosus,Warmouth,sunfish,fish,,,,,,,,,,,,,,,NA,NA,yes,Washington,no,yes,no,,,Bonar et al. 2005,5,1,0,0,0,0,0,1,0,0,2,1,4
179,Vallisneria sp.,Tapegrass,Tapegrass,aquatic plant,yes,,,no,,,,,,,,,,,NA,NA,,,,,,"BC Ministry List, Azan et al. 2015",Azan et al. 2015,,5,0,0,0,0,1,3,0,0,0,0,0,4
180,Hemichromis sp.,Jewel cichlid,cichlid,fish,yes,,,,,,,,,,,,,,NA,NA,,,,,,BC Ministry List,,,5,1,0,0,0,2,1,0,0,0,0,0,4
137,Sinocalanus doerrii,asian calanoid copepod,copepoda,zooplankton,,,,,,,,,,,,,,,NA,NA,yes,Washington,yes,yes,no,,,Cordell et al. 2008,5,0,0,0,0,1,0,0,0,1,0,1,2
63,piscine orthoreovirus,piscine orthoreovirus (PRV-1),,virus,,,,,,,,,,,yes,,,,NA,NA,,,no,yes,no?,,,,4,0,1,0,0,27,8,0,18,0,0,3,54
101,Salvelinus fontinalis x Salvelinus namaycush,Brook trout x lake trout hybrid ,hybrid,fish,,,,,,,,,,,,,,,NA,NA,,,no,,,Crossman 1991,,,4,0,0,0,0,3,13,0,0,0,0,0,16
36,Oncorhynchus aguabonita,Golden trout,salmonid,fish,,,,,,,,maybe,,,,,,,NA,NA,,,no,yes,no,Crossman 1991,,,4,0,0,0,0,0,6,0,1,0,0,1,7
119,Pomacea bridgesi ,"Apple Snail, Spiketop Apple Snail, Golden Mystery Snail ",mollusc,invertebrate,,,No ,,,,,yes,,,,,,,NA,NA,,,yes,no,no?,"Schroeder et al. 2014, DFO SLRA 2014",Schroeder et al. 2014,,4,0,0,0,0,0,0,0,0,0,0,0,0
106,Tanichthys albonubes,white cloudmountain minnow,minnow,fish,,,,,,,,yes,,,,,,,NA,NA,,,yes,no,no,Gertzen et al. 2007,,,3,9,0,0,1,4,5,0,0,0,0,0,19
42,Platygobio gracilis,Flathead chub,chub,fish,,,,,Alberta,,,,,,,,,,NA,NA,,,no,yes,no,Crossman 1991,,,3,0,0,0,0,0,0,0,0,0,3,2,3
4,Phoxinus neogaeus ,Finescale dace,dace,fish,,yes,yes,,,,,yes,,,,,,,NA,NA,,,no,no,no,Mandrak et al 2014,,,3,0,0,0,0,0,1,0,0,0,0,4,1
132,Palaemon modestus,Siberian prawn,shrimp,invertebrate,,,,,,,,,,,,,,,NA,NA,yes,Washington,yes,yes,no,,,Erhardt and Tiffan 2016,3,0,0,0,0,0,0,0,0,0,1,3,1
128,Myosotis scorpioides,European forget-me-not,not,aquatic plant,yes,yes,yes,no,,,yes,,,,,,,,NA,NA,,,yes,yes,no,"BC Ministry List, Keller and Lodge 2007",,,3,0,0,0,0,0,0,0,0,0,0,1,0
178,Pomacea haustrum ,Titan Apple Snail ,mollusc,invertebrate,,,No ,,,,,yes,,,,,,,NA,NA,,,yes,yes?,no,"Schroeder et al. 2014, DFO SLRA 2014",Schroeder et al. 2014,,3,0,0,0,0,0,0,0,0,0,0,0,0
3,Lepisosteus osseus ,Longnose gar,gar,fish,,yes,yes,,,,,yes,,,,,,,NA,NA,,,no,no,no,Mandrak et al 2014,,,2,1,0,1,0,0,5,0,0,0,2,0,9
30,Lepomis megalotis ,Longear sunfish ,sunfish,fish,,yes,yes,,,,,yes,,,,,,,NA,NA,yes,Montana,no,yes,no,Mandrak et al 2014,,Clancy and Bourret 2020,2,2,0,1,0,0,1,1,1,0,2,2,8
37,Amia calva,bowfin,bowfin,fish,,,,,Ontario,,,,,,,,,,NA,NA,,,no,yes,no,Crossman 1991,,,2,1,1,1,0,1,2,0,0,0,2,1,8
7,Lampetra ayresii ,Western river lamprey ,lamprey,fish,,,,,,No,,,,,,,,,NA,NA,,,no,no,no,Therriault and Webb 2017,Therriault and Webb 2017,,2,0,0,0,0,0,0,0,3,0,2,2,5
34,Umbra limi,Central Mud Minnow,Minnow,fish,,,,,,,,,,,,,,,NA,NA,yes,Montana,no,yes,no,,,Clancy and Bourret 2020,2,1,0,1,0,0,1,0,0,0,1,1,4
38,Couesius plumbeus,Lake chub,chub,fish,,,,,Alberta,,,,,,,yes,,,NA,NA,,,no,yes,no,Crossman 1991,,,2,0,0,1,0,0,2,0,0,0,0,5,3
168,Sphaerium corneum,European Fingernail Clam ,mollusc,invertebrate,,,yes,,,,,,,,,,,,NA,NA,,,yes,yes,yes,Schroeder et al. 2014,Schroeder et al. 2014,Mackie 1976; Mackie 2000,2,2,0,0,0,0,0,0,0,1,0,0,3
97,Esox americanus ,Redfin pickerel ,pickerel,fish,,,,,,Yes,,,,,,,,,NA,NA,,,no,yes?,no,Therriault and Webb 2017,Therriault and Webb 2017,,2,0,0,0,0,0,2,0,0,0,0,1,2
100,Oncorhynchus clarki lewisi x Oncorhynchus mykiss,Westslope cutthroat trout x rainbow trout hybrid,salmonid,fish,,,,,,,,,,,,,,,NA,NA,,,no,,,Crossman 1991,,,2,0,0,0,0,0,0,0,1,0,0,1,1
96,Erimyzon sucetta ,Lake chubsucker ,sucker,fish,,,,,,Yes,,,,,,,,,NA,NA,,,no,yes?,no,Therriault and Webb 2017,Therriault and Webb 2017,,2,0,0,0,0,0,1,0,0,0,0,0,1
98,Elimia livescens ,Liver Elimia ,mollusc,invertebrate,,,Unknown ,,,,,yes,,,,,,,NA,NA,,,no,yes?,no,"Schroeder et al. 2014, DFO SLRA 2014",Schroeder et al. 2014,,2,0,0,0,0,0,0,0,0,0,1,0,1
69,Nymphaea mexicana,Yellow waterlily,waterlily,aquatic plant,yes,,,no,,,yes,,,,,,,,NA,NA,,,no,yes,yes,"BC Ministry List, Azan et al. 2015",Azan et al. 2015,,2,0,0,0,0,0,0,0,0,0,0,0,0
181,Hygrophila sp. ,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,"Azan et al. 2015, cohen et al. 2007",Azan et al. 2015,,1,0,0,0,0,0,1,0,1,0,1,1,3
105,Cladophora aegagropila ,"moss ball, marimo",(syn. Aegagropila linnaei),aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,yes,no,no,"Azan et al. 2015, Cohen et al. 2007",Azan et al. 2015,,1,1,0,0,0,2,0,0,0,0,0,0,3
170,Valvata piscinalis ,European Stream Valvata ,mollusc,invertebrate,,,yes,,,,,,,,,,,,NA,NA,,,yes,yes,yes,Schroeder et al. 2014,Harman 2000; Haynes et al. 2005,,1,0,0,0,0,0,0,0,0,1,1,0,2
9,Lethenteron alaskense ,Alaskan brook lamprey,lamprey,fish,,,,,,No,,,,,,,,,NA,NA,,,no,no,no,Therriault and Webb 2017,Therriault and Webb 2017,,1,0,0,0,0,0,0,0,1,0,0,1,1
134,Harpacticella paradoxa,,copepoda,zooplankton,,,,,,,,,,,,,,,NA,NA,yes,Washington,yes,yes,no,,,Cordell et al. 2007,1,0,0,0,0,0,0,0,0,1,0,1,1
182,Petromyzontidae spp.,lamprey,lamprey,fish,,,,,"Washington, California",,,,,,,,,,NA,NA,,,,,,Crossman 1991,,,1,0,0,0,0,0,0,0,1,0,0,0,1
58,Pimephales vigilax ,Bullhead minnow ,minnow,fish,,,,,,No,,,,,,,,,NA,NA,,,no,yes,no,Therriault and Webb 2017,Therriault and Webb 2017,,1,0,0,0,0,0,0,0,0,0,1,0,1
6,Ichthyomyzon greeleyi ,Mountain brook lamprey ,lamprey,fish,,,,,,No,,,,,,,,,NA,NA,,,no,no,no,Therriault and Webb 2017,Therriault and Webb 2017,,1,0,0,0,0,0,0,0,0,0,0,0,0
10,Noturus albater ,Ozark madtom ,madtom,fish,,,,,,Yes,,,,,,,,,NA,NA,,,no,no,no,Therriault and Webb 2017,Therriault and Webb 2017,,1,0,0,0,0,0,0,0,0,0,0,0,0
83,Ameiurus platycephalus ,Flat bullhead,bullhead,fish,,,,,,Yes,,,,,,,,,NA,NA,yes,Montana,no,yes,yes,Therriault and Webb 2017,Therriault and Webb 2017,Clancy and Bourret 2020,1,0,0,0,0,0,0,0,0,0,0,0,0
104,Microsorum pteropus ,java fern,Copel. (syn. Colysis pteropus),aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,yes,no,no,"Azan et al. 2015, cohen et al. 2007",Azan et al. 2015,,1,0,0,0,0,0,0,0,0,0,0,0,0
5,Alosa mediocris,Hickory shad,shad,fish,,,,,,No,,,,,,,,,NA,NA,,,no,no,no,Therriault and Webb 2017,Therriault and Webb 2017,,0,0,0,0,0,0,5,0,0,0,0,0,5
39,Hiodon alosoides,Goldeye,Goldeye,fish,,,,,Alberta,,,,,,,,,,NA,NA,,,no,yes,no,Crossman 1991,,,0,1,0,0,0,0,1,0,0,0,0,7,2
8,Lampetra pacifica ,Pacific brook lamprey ,lamprey,fish,,,,,,No,,,,,,,,,NA,NA,,,no,no,no,Therriault and Webb 2017,Therriault and Webb 2017,,0,0,0,0,0,0,0,0,2,0,0,1,2
13,Percina aurantiaca ,Tangerine darter ,darter,fish,,,,,,No,,,,,,,,,NA,NA,,,no,no,no,Therriault and Webb 2017,Therriault and Webb 2017,,0,0,0,0,0,2,0,0,0,0,0,0,2
14,Percina burtoni ,Blotchside darter ,darter,fish,,,,,,No,,,,,,,,,NA,NA,,,no,no,no,Therriault and Webb 2017,Therriault and Webb 2017,,0,0,0,0,0,2,0,0,0,0,0,0,2
57,Morone mississippiensis,Yellow bass,bass,fish,,,,,,Yes,,,,,,,,,NA,NA,,,no,yes,no,Therriault and Webb 2017,Therriault and Webb 2017,,0,0,1,0,0,0,1,0,0,0,0,0,2
108,Danio albolineatus ,Pearl danio,danio,fish,,yes,no,,,,,yes,,,,,,,NA,NA,,,yes,no,no,Mandrak et al 2014,,,0,2,0,0,0,0,0,0,0,0,0,0,2
138,Hygrophila difformis ,water wisteria,(Blume) (syn. Synnema triflorum),aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,yes,yes,no,"Azan et al. 2015, Cohen et al. 2007",Azan et al. 2015,,0,1,0,0,0,1,0,0,0,0,0,0,2
11,Noturus elegans ,Elegant madtom ,madtom,fish,,,,,,Yes,,,,,,,,,NA,NA,,,no,no,no,Therriault and Webb 2017,Therriault and Webb 2017,,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Percina antesella ,Amber darter ,darter,fish,,,,,,No,,,,,,,,,NA,NA,,,no,no,no,Therriault and Webb 2017,Therriault and Webb 2017,,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Pteronotropis hypselopterus ,Sailfin shiner ,shiner,fish,,,,,,No,,,,,,,,,NA,NA,,,no,no,no,Therriault and Webb 2017,Therriault and Webb 2017,,0,0,0,0,0,0,0,0,0,0,0,0,0
95,Ameiurus brunneus,Snail bullhead,bullhead,fish,,,,,,Yes,,,,,,,,,NA,NA,yes,Montana,no,yes?,no,Therriault and Webb 2017,Therriault and Webb 2017,Clancy and Bourret 2020,0,0,0,0,0,0,0,0,0,0,0,0,0
120,Sagittaria subulata,Awl-leaf arrowhead,arrowhead,aquatic plant,,,,no,,,yes,,,,,,,,NA,NA,,,yes,no,yes,"DFO SLRA 2014, Azan et al. 2015, cohen et al. 2007",Azan et al. 2015,,0,0,0,0,0,0,0,0,0,0,0,0,0
