,Species.name,common.name,taxa_smaller,taxa_big,present.in.BC,established.in.BC,established.in.Canada,native.to.part.of.BC,source.region.to.BC,hitlist..according.to.Therriault.and.Webb.,ornamental.nursery.trade,aquarium.pet..trade,live.food.market,biological.supply,aquaculture,fish.stocking,recreational.boating,bait.industry,shipping.and.ballast,canals.and.diversions,adjacent.region,if.adjacent..where,exotic.to.NA,invasive.in.NA,globally.invasive,Listed.in.publications,Risk.assessment.pubs,impact.other.pubs,wos,wos_pet_trade,wos_live_trade,wos_bait,wos_biol_supply,wos_aquaculture,wos_stocking,wos_boating,wos_bc,wos_shipping,wos_canal,wos_spread_adj,sum_vector
79,Ameiurus nebulosus ,Brown bullhead,bullhead,fish,,yes,yes,,,Yes,,,,,,,,,NA,NA,yes,"Montana, Washington",no,yes,yes,"Crossman 1991, Mandrak et al 2014, Therriault and Webb 2017, BC Ministry List",Therriault and Webb 2017,"Clancy and Bourret 2020, Bonar et al. 2005",52,5,0,1,0,3,12,2,2,0,4,17,29
92,Mytilopsis leucophaeata,dark false mussel,mollusc,invertebrate,,,,,,,,,,,,,,,NA,NA,,,no,yes,yes,,"Therriault et al. 2013, DFO Canadawide RA",,51,1,0,0,0,1,1,2,0,10,9,0,24
1,Salvelinus confluentus,Bull trout,salmonid,fish,,,,,,,,,,,,,,,NA,NA,yes,Montana,no,no,no,Crossman 1991,,Clancy and Bourret 2020,50,0,1,1,0,0,29,1,35,0,6,157,73
183,Salvelinus namaycush x Salvelinus malma or Salvelinus confluentus,Lake trout x dolly varden or bull trout,salmonid,fish,,,,,,,,,,,,,,,NA,NA,,,,,,Crossman 1991,,,50,0,1,1,0,0,29,1,35,0,6,157,73
103,Viral hemorrhagic septicemia virus ,Viral hemorrhagic septicemia virus (VHSV),,virus,,,,,,,,,,,yes,,,,NA,NA,,,no?,no?,yes?,,,,49,6,2,7,0,126,44,2,11,8,0,42,206
140,Pomacea insularum,Island Apple Snail ,mollusc,invertebrate,,,No ,,,,,yes,,,,,,,NA,NA,,,yes,yes,no,"Schroeder et al. 2014, DFO SLRA 2014",Schroeder et al. 2014,,45,3,0,0,0,1,1,0,0,1,1,0,7
176,Tarebia granifera,Quilted Melania ,mollusc,invertebrate,,,No ,,,,,yes,,,,,,,NA,NA,,,yes,yes,yes?,"Schroeder et al. 2014, DFO SLRA 2014",,,41,5,0,0,0,1,0,1,0,1,1,0,9
44,Lota lota,burbot,burbot,fish,,,,,Northwest territories,,,,,,,,,,NA,NA,,,no,yes,no,Crossman 1991,,,40,4,0,0,1,28,76,3,35,0,11,50,158
166,Oreochromis aureus ,Blue tilapia ,tilapia,fish,,,,,,No,,,,,yes,,,,NA,NA,,,yes,yes,yes,Therriault and Webb 2017,Therriault and Webb 2017,,39,44,0,1,0,106,69,0,0,0,0,0,220
121,Lates calcarifer,Barramundi or Asian sea bass,bass,fish,,,,,,,,,,,yes,,,,NA,NA,,,yes,no,yes,DFO aquaculture liscence,,,36,21,6,7,2,281,213,2,1,2,3,1,538
54,Cyprinella lutrensis ,Red Shiner,Shiner,fish,,yes,no,,,,,yes,yes,,,,,,NA,NA,,,no,yes,no,Mandrak et al 2014,,Roy et al. 2018,36,2,0,2,0,2,8,0,0,1,2,1,17
165,Mylopharyngodon piceus,Black carp,carp,fish,,,,,,Yes,,,yes,,,,,,NA,NA,,,yes,yes,yes,Therriault and Webb 2017,"Therriault and Webb 2017, DFO Canadawide RA",Roy et al. 2018,35,3,1,0,1,28,23,0,0,0,1,0,57
24,Alosa sapidissima,American shad,shad,fish,,yes,yes,,USA,,,,,,,,,,NA,NA,yes,,no,yes,no,"Crossman 1991, BC Ministry List",,,34,1,0,0,1,4,108,2,9,1,3,9,129
116,Egeria najas,Narrow leaf elodea (Planchon),elodea,aquatic plant,,,no,,,,yes,,,,,,,,NA,NA,yes,Alaska,yes,no,no?,"DFO SLRA 2014, Azan et al. 2015, cohen et al. 2007",Azan et al. 2015,"(Luizza et al. 2016; Carey et al. 2016; Sethi et al. 2017; Schwoerer et al. 2020b, 2020a)",33,3,0,0,0,0,0,0,0,0,4,0,7
127,Biomphalaria straminea ,,mollusc,invertebrate,,,No ,,,,,yes,,,,,,,NA,NA,,,yes,no,yes,"Schroeder et al. 2014, DFO SLRA 2014",,,32,2,0,0,0,5,0,0,0,0,1,0,8
35,Mysis diluviana,Opossum shrimp,shrimp,invertebrate,,,,,,,,,,,,,,,NA,NA,yes,"Montana, Idaho, Washington",no,yes,no,,,"Ellis et al 2011, Devlin et al. 2017, Caldwell et al. 2016, Schoen et al. 2015",31,0,0,0,0,3,7,0,4,0,0,13,14
49,Acipenser transmontanus ,white sturgeon,sturgeon,fish,,,,,"Oregon, California",,,,,,yes,,,,NA,NA,,,no,yes,no,"Crossman 1991, DFO aquaculture liscences",,,30,9,1,2,0,85,118,3,31,3,18,45,270
21,Rana clamitans,Green frog,frog,amphibian,yes,yes,,yes,,,,,,,,,,,NA,NA,,,no,yes,no,BC Ministry List,,,30,2,0,1,1,3,2,0,5,0,1,0,15
130,Bithynia tentaculata ,Faucet Snail ,mollusc,invertebrate,,,yes,,,,,yes,,,,,,,NA,NA,yes,Montana,yes,yes,no,Schroeder et al. 2014,Harman 2000; Haynes et al. 2005,Sanland and Pierce 2021,30,2,0,0,0,0,1,5,0,4,1,2,13
91,Physella acuta ,European Physa ,mollusc,invertebrate,,,yes,,,,,yes,,,,,,,NA,NA,,,no,yes,yes,"Schroeder et al. 2014, Duggan et al. 2018",Schroeder et al. 2014,,29,2,0,0,0,4,0,0,0,1,1,0,8
160,Xiphophorus hellerii,Green swordtail,swordtail,fish,,,,,,,,,,,,,,,NA,NA,,,yes,yes,yes,Crossman 1991,,,28,9,1,0,0,7,2,0,0,0,1,0,20
60,Faxonius rusticus,rusty crayfish,crayfish,invertebrate,,,yes,,,,,,,,,,,yes,NA,NA,,,no,yes,no,"Brown and Therriault, Keller and Lodge 2007",,,26,1,0,2,0,1,1,0,0,0,0,1,5
62,Chelydra serpentina,Eastern snapping turtle,turtle,reptile,yes,,,yes,,,,,,,,,,,NA,NA,,,no,yes,no?,BC Ministry List,,,25,8,9,9,0,1,5,4,0,0,5,0,41
71,Myriophyllum heterophyllum,Varied-leaved watermilfoil,watermilfoil,aquatic plant,yes,,,no,,,yes,,,,,,,,NA,NA,,,no,yes,yes,"BC Ministry List, DFO SLRA 2014",,,25,2,0,0,0,0,1,2,0,0,1,0,6
29,Notemigonus crysoleucas,golden shiner,shiner,fish,,,yes,,,,,,,,,,,yes,NA,NA,yes,Washington,no,yes,no,Keller and Lodge 2007,,Bonar et al. 2005,24,12,2,11,1,12,27,1,0,1,1,7,68
61,Iris pseudacorus,Yellow iris,iris,aquatic plant,yes,,yes,no,,,yes,,,,,,,,NA,NA,,,no,yes,no?,"BC Ministry List, Keller and Lodge 2007",,,24,0,0,0,1,12,0,0,3,0,0,0,16
174,Bellamya chinensis,Chinese Mysterysnail ,mollusc,invertebrate,yes,,yes,no,,,,,,,,,,,NA,NA,yes,Washington,yes,yes,yes?,"Schroeder et al. 2014, BC Ministry List",,(Olden et al. 2009),22,3,0,0,0,1,0,4,0,1,0,2,9
135,Pseudodiaptomus forbesi,,copepoda,zooplankton,,,,,,,,,,,,,,,NA,NA,yes,Washington,yes,yes,no,,,"Dexter et al. 2020, Lee et al. 2016, Cordell et al. 2008",22,0,0,0,0,1,1,1,0,3,1,2,7
84,Lepomis cyanellus,Green sunfish,sunfish,fish,,,,,,,,,,,,,,,NA,NA,yes,Washington,no,yes,yes,,,Bonar et al. 2005,21,6,0,1,0,11,22,1,1,0,5,4,47
23,Catostomus commersonii,White sucker,sucker,fish,,,,,Alberta,,,,,,,yes,,,NA,NA,yes,Montana,no,yes,no,Crossman 1991,,Clancy and Bourret 2020,21,1,0,3,0,3,14,3,0,0,0,6,24
45,Salvelinus malma,Dolly varden trout,salmonid,fish,,,,,,,,,,,,,,,NA,NA,,,no,yes,no,Crossman 1991,,,19,3,0,2,1,0,18,0,24,1,2,99,51
125,Lampetra fluviatilis ,european River lamprey ,lamprey,fish,,,,,,Yes,,,,,,,,,NA,NA,,,yes,no,yes,Therriault and Webb 2017,Therriault and Webb 2017,,19,4,1,1,0,3,22,1,2,0,8,3,42
111,Biomphalaria pfeifferi ,,mollusc,invertebrate,,,No ,,,,,yes,,,,,,,NA,NA,,,yes,no,no,"Schroeder et al. 2014, DFO SLRA 2014",,,19,7,0,1,0,6,4,1,0,0,17,1,36
72,Pectinatella magnifica,magnificent bryozoan,bryozoan,invertebrate,yes,,,no,,,,,,,,,,,NA,NA,,,no,yes,yes,BC Ministry List,,,18,2,0,0,0,4,0,1,0,1,2,0,10
40,Oncorhynchus keta,Chum salmon,salmonid,fish,,,,,"Alaska, Yukon",,,,,,,,,,NA,NA,,,no,yes,no,Crossman 1991,,,17,6,1,3,0,41,255,2,206,1,7,209,522
112,Bulinus truncatus ,,mollusc,invertebrate,,,Unknown ,,,,,yes,,,,,,,NA,NA,,,yes,no,no,"Schroeder et al. 2014, DFO SLRA 2014",,,17,1,0,1,0,2,1,0,0,0,15,0,20
118,Lymnaea peregra ,wandering pond snail,mollusc,invertebrate,,,Unknown ,,,,,yes,,,,,,,NA,NA,,,yes,no,no?,"Schroeder et al. 2014, DFO SLRA 2014",Schroeder et al. 2014,,17,1,0,0,0,0,0,0,0,0,3,2,4
151,Piaractus brachypomus,Red-bellied pacu,pacu,fish,yes,,,,,,,,,,,,,,NA,NA,,,yes,yes,yes,BC Ministry List,,,16,8,0,2,0,37,13,0,1,1,3,1,65
136,Pseudodiaptomus inopinus,,copepoda,zooplankton,,,,,,,,,,,,,,,NA,NA,yes,Washington,yes,yes,no,,,Cordell et al. 2008,16,0,0,0,0,1,0,1,5,10,0,6,17
26,Pomoxis nigromaculatus ,Black crappie,crappie,fish,,yes,yes,,USA,,,yes,,,,,,,NA,NA,yes,"Montana, Washington",no,yes,no,"Crossman 1991, Mandrak et al 2014, BC Ministry List",,"Clancy and Bourret 2020, Bonar et al. 2005",15,1,0,1,0,4,32,3,0,0,3,2,44
2,Ptychocheilus oregonensis ,Northern pikeminnow ,pikeminnow,fish,,,,,,No,,,,,,,,,NA,NA,yes,Montana,no,no,no,Therriault and Webb 2017,Therriault and Webb 2017,Clancy and Bourret 2020,15,0,0,0,0,0,11,4,4,0,1,12,20
47,Notropis hudsonius,Margined madtom or spottail shiner,shiner,fish,,yes,,yes,,,,maybe,,,,,,,NA,NA,,,no,yes,no,"Crossman 1991, BC Ministry List",,,15,0,0,2,1,0,4,0,0,0,1,2,8
148,Glyceria maxima,Giant mannagrass,mannagrass,aquatic plant,yes,,yes,no,,,yes,,,,,,,,NA,NA,,,yes,yes,yes,"BC Ministry List, Keller and Lodge 2007",,,14,0,0,0,0,5,7,2,0,0,3,0,17
150,Astronotus ocellatus,Oscar,cichlid,fish,yes,,,,,,,,,,,,,,NA,NA,,,yes,yes,yes,BC Ministry List,,,13,12,0,1,0,4,6,1,0,0,3,0,27
55,Ictiobus cyprinellus ,Bigmouth buffalo,buffalo,fish,,yes,yes,,,,,yes,yes,,,,,,NA,NA,,,no,yes,no,Mandrak et al 2014,,,13,0,0,0,0,3,2,1,0,0,0,0,6
117,Siniperca chuatsi ,Mandarin fish/Chinese perch,perch,fish,,,,,,,,yes,yes,,,,,,NA,NA,,,yes,no,no?,Mandrak et al 2014,,Roy et al. 2018,12,5,1,4,0,44,13,0,0,0,0,0,67
87,Thymallus arcticus,Arctic grayling,grayling,fish,,,,,"Yukon, Alaska, Northwest Terrirtories",,,,,,,,,,NA,NA,,,no,yes,yes,Crossman 1991,,,12,1,0,0,0,0,19,0,16,0,2,92,38
