"","Species.name","common.name","taxa_smaller","taxa_big","present.in.BC","established.in.BC","established.in.Canada","native.to.part.of.BC","source.region.to.BC","hitlist..according.to.Therriault.and.Webb.","ornamental.nursery.trade","aquarium.pet..trade","live.food.market","biological.supply","aquaculture","fish.stocking","recreational.boating","bait.industry","shipping.and.ballast","canals.and.diversions","adjacent.region","if.adjacent..where","Listed.in.publications","Risk.assessment.pubs","impact.other.pubs","notes","notes.2","X","X.1","X.2","wos"
"124","Eleocharis montevidensis","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately High","","",NA,"",0
"125","Eleocharis vivipara","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","","",NA,"",0
"126","Eriocaulon cinereum","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Low","","",NA,"",0
"127","Glossostigma elatinoides","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","","",NA,"",0
"128","Glyceria declinata","Waxy mannagrass","mannagrass","aquatic plant","yes","","","no","","","","","","","","","","",NA,NA,"","","BC Ministry List","","","","","",NA,"",1
"129","Glyceria fluitans","Floating sweet-grass","grass","aquatic plant","yes","","","no","","","","","","","","","","",NA,NA,"","","BC Ministry List","","","","","",NA,"",1
"130","Glyceria maxima","Giant mannagrass","mannagrass","aquatic plant","yes","","yes","no","","","yes","","","","","","","",NA,NA,"","","BC Ministry List, Keller and Lodge 2007","","","","","",NA,"",14
"131","Glyceria","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Low","","",NA,"",29
"132","Gymnocoronis spilanthoides","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Cohen et al. 2007","","","","","",NA,"",8
"133","Hemianthus callitrichoides OR Micranthemum umbrosum","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","","",NA,"",1
"134","Hemianthus micranthemoides OR Micranthemum micranthemoides","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately High","","",NA,"",0
"135","Hemianthus","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","","",NA,"",0
"136","Hemigraphis exotica","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Low","","",NA,"",0
"137","Hemigraphis repanda OR Ruellia repanda","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately High","","",NA,"",1
"138","Hesperantha coccinea ","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Low","","",NA,"",0
"139","Heteranthera zosterifolia","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","","",NA,"",1
"140","Hibiscus acetosella","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Low","","",NA,"",1
"141","Hibiscus coccineus","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Low","","",NA,"",0
"142","Hottonia palustris ","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Low","","",NA,"",2
"143","Houttunyia cordata","chameleon plant","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Keller and Lodge 2007","","","","","",NA,"",0
"144","Houttuynia","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","","",NA,"",11
"145","Hydrocharis morsus-ranae","european frog-bit","","aquatic plant","","","yes","","","","yes","","","","","","","",NA,NA,"","","Keller and Lodge 2007","","","","","",NA,"",18
"146","Hydrocotyle leucocephala","","","aquatic plant","","","","","","","","","","","","","","",NA,NA,"","","Cohen et al. 2007","","","","","",NA,"",0
"147","Hydrocotyle sibthorpioides OR Hydrocotyle maritima OR Hydrocotyle rotundifolia","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Low","","",NA,"",30
"148","Hydrocotyle","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately High","","",NA,"",56
"149","Hydrotriche hottoniiflora ","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Low","","",NA,"",0
"150","Hygrophila angustifolia OR Hygrophila salicifolia","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015, cohen et al. 2007","Azan et al. 2015","","Moderately High","","",NA,"",2
"151","Hygrophila balsamica","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","High","","",NA,"",0
"152","Hygrophila corymbosa","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","High","","",NA,"",1
"153","Hygrophila difformis OR Synnema triflorum","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015, Cohen et al. 2007","Azan et al. 2015","","High","","",NA,"",9
