Species name,common name,taxa_smaller,taxa_big,present in BC,established in BC,established in Canada,native to part of BC,source region to BC,hitlist (according to Therriault and Webb),ornamental/nursery trade,aquarium pet  trade,live food market,biological supply,aquaculture,fish stocking,recreational boating,bait industry,shipping and ballast,canals and diversions,adjacent region,"if adjacent, where",exotic to NA,invasive in NA,globally invasive,Listed in publications,Risk assessment pubs,impact/other pubs,,,,,
Betta splendens,Siamese fighting fish,,fish,,,,,,,,yes,,,,,,,NA,NA,,,,,,Gertzen et al. 2007,,,,,,15,
Biomphalaria alexandrina ,,mollusc,invertebrate,,,Unknown ,,,,,yes,,,,,,,,,,,yes,no,no,"Schroeder et al. 2014, DFO SLRA 2014",,,,,,,
Biomphalaria glabrata ,Bloodfluke Planorb ,mollusc,invertebrate,,,Unknown ,,,,,yes,,,,,,,,,,,yes,yes?,no,"Schroeder et al. 2014, DFO SLRA 2014",,,,,,,
Biomphalaria pfeifferi ,,mollusc,invertebrate,,,No ,,,,,yes,,,,,,,,,,,yes,no,no,"Schroeder et al. 2014, DFO SLRA 2014",,,,,,,
Biomphalaria straminea ,,mollusc,invertebrate,,,No ,,,,,yes,,,,,,,,,,,yes,no,yes,"Schroeder et al. 2014, DFO SLRA 2014",,,,,,,
Bithynia tentaculata ,Faucet Snail ,mollusc,invertebrate,,,yes,,,,,yes,,,,,,,,,yes,Montana,yes,yes,no,Schroeder et al. 2014,Harman 2000; Haynes et al. 2005,Sanland and Pierce 2021,,,,,
Bletilla striata,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,4,
Bosmina coregoni,water flea,cladocera,zooplankton,,,,,,,,,,,,,,,,,yes,Washington,yes,yes,no,,Lee et al. 2016,,,,,,
Brachygobius doriae ,,,fish,,,,,,,,yes,,,,,,,NA,NA,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,1,
Bulinus truncatus ,,mollusc,invertebrate,,,Unknown ,,,,,yes,,,,,,,,,,,yes,no,no,"Schroeder et al. 2014, DFO SLRA 2014",,,,,,,
Butomus umbellatus,Flowering-rush,rush,aquatic plant,yes,,,no,,,,,,,,,,,NA,NA,,,,,,BC Ministry List,,,,,,31,
Cabomba aquatic,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,"Azan et al. 2015, Cohen et al. 2007",Azan et al. 2015,,Moderately Low,,,41,
Cabomba caroliniana,,,aquatic plant,,,yes,,,,yes,,,,,,,,NA,NA,,,,,,"Keller and Lodge 2007, Cohen et al. 2007 ",,,,,,39,
Cabomba palaeformis,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,1,
(Cabomba piauhyensis OR Cabomba furcata),Red Cabomba Plant,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately High,,,6,
Caladium ,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,3,
Callitriche stagnalis,Pond water-starwort,starwort,aquatic plant,yes,,,no,,,,,,,,,,,NA,NA,,,,,,BC Ministry List,,,,,,4,
Caltha,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,3,
Carassius auratus ,Goldfish,Goldfish,fish,,yes,yes,,,,yes,yes,yes,,,,,,,,,,yes,yes,yes,"Crossman 1991, Mandrak et al 2014, Gartner et al. 2011, BC Ministry List, Keller and Lodge 2007, Gertzen et al. 2007",,,,,,,
Carassius carassius ,Crucian carp,carp,fish,,,no,,,,,,yes,yes,,,,,,,,,yes,no,yes,Mandrak et al 2014,,Roy et al. 2018,,,,,
Carassius gibelio,Prussian carp,carp,fish,,,,,,,,,,,,,,,,,yes,Alberta,yes,yes,yes,,,Ruppert et al. 2017,,,,,
(Carex glauca OR Carex flacca),,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,36,
Catostomus catostomus,Longnose sucker,sucker,fish,,,,,Alberta,,,,,,,yes,,yes,,,yes,Montana,no,yes?,no,Crossman 1991,,Clancy and Bourret 2020,,,,,
Catostomus commersonii,White sucker,sucker,fish,,,,,Alberta,,,,,,,yes,,,,,yes,Montana,no,yes,no,Crossman 1991,,Clancy and Bourret 2020,,,,,
Ceratophyllum demersum,Common hornwort (coontail),hornwort,aquatic plant,yes,,,yes,,,yes,,,,,,,,,,,,yes,yes,yes,"BC Ministry List, Cohen et al. 2007",,,,,,,
Ceratopteris thalictroides,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Cohen et al. 2007,,,,,,3,
Channa maculata,Blotched snakehead,snakehead,fish,yes,,,,,,,,yes,,,,,,,,,,yes,yes,no,BC Ministry List,,Roy et al. 2018,,,,,
