Species name,common name,taxa_smaller,taxa_big,present in BC,established in BC,established in Canada,native to part of BC,source region to BC,hitlist (according to Therriault and Webb),ornamental/nursery trade,aquarium pet  trade,live food market,biological supply,aquaculture,fish stocking,recreational boating,bait industry,shipping and ballast,canals and diversions,adjacent region,"if adjacent, where",Listed in publications,Risk assessment pubs,impact/other pubs,notes,notes 2,,,
Lindernia rotundiflora OR Linderna microcalyx,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,,
Lobelia sessilifolia ,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately High,,,,
Lobelia,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,,
Ludwigia arcuate,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately High,,,,
Ludwigia brevipes,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,,
Ludwigia glandulosa,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,,
Ludwigia inclinata,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,,
Ludwigia palustris ,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Cohen et al. 2007,,,,,,,
Ludwigia repens,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Cohen et al. 2007,,,,,,,
Ludwigia sedioides,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,,
Ludwigia,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,,
Lycoris radiata,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,,
Lysimachia nummularia,moneywort,,aquatic plant,,,yes,,,,yes,,,,,,,,,,,,Keller and Lodge 2007,,,,,,,
Lysimachia,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,,
Marsilea angustifolia,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,,
Marsilea crenata OR Marsilea crenulata,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,,
Marsilea hirsuta,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,,
Marsilea mutica,water fern,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Keller and Lodge 2007,,,,,,,
Marsilea quadrifolia,water shamrock,,aquatic plant,,,yes,,,,yes,,,,,,,,,,,,Keller and Lodge 2007,,,,,,,
Marsilea schelpeana,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,,
Mayaca fluviatilis,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,"Azan et al. 2015, Cohen et al. 2007",Azan et al. 2015,,Moderately High,,,,
Mentha aquatic,water mint,,aquatic plant,,,yes,,,,yes,,,,,,,,,,,,Keller and Lodge 2007,,,,,,,
Microcarpaea minima,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,,
Micromeria brownei OR Clinopodium brownei,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,,
Microsorum pteropus OR Colysis pteropus,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,"Azan et al. 2015, cohen et al. 2007",Azan et al. 2015,,High,,,,
Microsorum,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately High,,,,
Mimulus luteus,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,,
Musa,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,,
Mynphaea,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Cohen et al. 2007,,,,,,,
Myosotis scorpioides,European forget-me-not,not,aquatic plant,yes,yes,yes,no,,,yes,,,,,,,,,,,,"BC Ministry List, Keller and Lodge 2007",,,,,,,
Myosotis,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,,
Myriophyllum aquaticum,Parrot's feather,feather,aquatic plant,yes,,yes,no,,,yes,yes,,,,,,,,,yes,Washington,"BC Ministry List, Keller and Lodge 2007",,"Kuehne et al. 2016, 2018",,,,,
Myriophyllum heterophyllum,Varied-leaved watermilfoil,watermilfoil,aquatic plant,yes,,,no,,,yes,,,,,,,,,,,,"BC Ministry List, DFO SLRA 2014",,,,,,,
Myriophyllum mattogrossensis,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,"Azan et al. 2015, Cohen et al. 2007",Azan et al. 2015,,Low,,,,
Myriophyllum propinquum,Common water milfoil,milfoil,aquatic plant,,,,no,,,yes,,,,,,,,,,,,DFO SLRA 2014,,,,,,,
Myriophyllum ,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately High,,,,
Myriophyllum spicatum,Eurasian water-milfoil,milfoil,aquatic plant,yes,,yes,no,,,yes,yes,,,,,yes,,,,yes,"Idaho, Washington","BC Ministry List, Keller and Lodge 2007",,"(Moody and Les 2007; Madsen et al. 2015; Liao et al. 2016, Wagner and Falter 2002, Parsons et al. 2009; Tamayo and Olden 2014; Olden and Tamayo 2014)",,,,,
Myriophyllum tuberculatum,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,,
Myriophyllum verrucosum,Red-water milfoil,milfoil,aquatic plant,,,,no,,,yes,,,,,,,,,,,,DFO SLRA 2014,,,,,,,
Najas graminea,Ricefield waternymph,waternymph,aquatic plant,,,no,,,,yes,,,,,,,,,,,,DFO SLRA 2014,,,,,,,
Najas indica,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,,
Najas minor,less naiad,,aquatic plant,,,yes,,,,,yes,,,,,,,,,,,Keller and Lodge 2007,,,,,,,
Nasturtium x sterile,Sterile watercress hybrid,hybrid,aquatic plant,,,yes,,,,yes,,,,,,,,,,,,DFO SLRA 2014,,,,,,,
Nelumbo,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,,
Nesaea crassicaulis ,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,,
Nesaea pedicellata Hiern,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately High,,,,
Nesaea,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,,
Nomaphila coryambosa,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Cohen et al. 2007,,,,,,,
Nuphar stellata,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,,
Nymphaea alba,European white waterlily,waterlily,aquatic plant,,,yes,,,,yes,,,,,,,,,,,,DFO SLRA 2014,,,,,,,
Nymphaea lotus,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately High,,,,
Nymphaea mexicana,Yellow waterlily,waterlily,aquatic plant,yes,,,no,,,yes,,,,,,,,,,,,"BC Ministry List, Azan et al. 2015",Azan et al. 2015,,,,,,
Nymphaea micrantha,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,,
Nymphaea nouchali,Blue lotus,lotus,aquatic plant,,,no,,,,yes,,,,,,,,,,,,DFO SLRA 2014,,Mordecai et al. 2021,,,,,
Nymphaea odorata,Fragrant waterlily,waterlily,aquatic plant,yes,,,no,,,,,,,,,,,,,,,BC Ministry List,,,,,,,
Nymphaea pygmaea,Water lily,lily,aquatic plant,,,no,,,,yes,,,,,,,,,,,,DFO SLRA 2014,,,,,,,
Nymphaea,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately High,,,,
Nymphaea stellata OR Nymphaea nouchali,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,,
Nymphaea zenkeri,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,,
Nymphoides aquatic ,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,,
Nymphoides hydrocharioides OR Nymphoides aurantiaca,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,,
Nymphoides peltata,Yellow floating heart,heart,aquatic plant,yes,,yes,no,,,yes,yes,,,,,,,,,,,"BC Ministry List, Keller and Lodge 2007",,,,,,,
Oenanthe aquatica,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,,
Oenanthe,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,,
Ophioporgon japonicus,Mondo grass,,aquatic plant,,,,,,,yes,,,,,,,,,,,,"Keller and Lodge 2007, Cohen et al. 2007",,,,,,,
Orontium aquaticum,Golden-club,club,aquatic plant,,,,,,,yes,,,,,,,,,,,,DFO SLRA 2014,,,,,,,
Phragmites,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,,
Pilea cadierei,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,,
Pistia stratiotes,water lettuce,,aquatic plant,,,yes,,,,yes,yes,,,,,,,,,,,Keller and Lodge 2007,,,,,,,
Pogostemon helferi OR Dysophylla helferi OR Eusteralis helferi,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,,
Pogostemon stellatus OR Dysophylla stellata OR Eusteralis stellata,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,,
Pontederia sp. ,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,,
Potamogeton crispus,Curled pondweed (curlyleaf),curlyleaf),aquatic plant,yes,,yes,no,,,yes,,,,,,,,,,yes,Washington,"BC Ministry List, Keller and Lodge 2007",,(Tamayo and Olden 2014),,,,,
Potamogeton malaianus OR Potamogeton nodosus,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,,
Potamogeton octandrus,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,,
Potamogeton schweinfurthii,Pondweed,Pondweed,aquatic plant,,,no,,,,yes,,,,,,,,,,,,DFO SLRA 2014,,,,,,,
Primula japonica,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,,
Primula,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,,
Proserpinaca palustris,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,,
Ranunculus lingua,greater spearwort,,aquatic plant,,,,,,,yes,,,,,,,,,,,,"Azan et al. 2015, Keller and Lodge 2007",Azan et al. 2015,,Moderately High,,,,
Ranunculus papulentus,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,,
Rorippa nasturtium-aquaticum,Common water cress,cress,aquatic plant,yes,,,no,,,,,,,,,,,,,,,BC Ministry List,,,,,,,
Rotala indica ,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Cohen et al. 2007,,,,,,,
Rotala macranda,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,"Azan et al. 2015, Cohen et al. 2007",Azan et al. 2015,,Moderately Low,,,,
Rotala,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately High,,,,
Rotala wallichii,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,"Azan et al. 2015, Cohen et al. 2007",Azan et al. 2015,,Moderately Low,,,,
Ruellia,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,,
Sagittaria aginashi,,,aquatic plant,,,no,,,,yes,,,,,,,,,,,,DFO SLRA 2014,,,,,,,
Sagittaria guayanesis,Arrowhead lily,lily,aquatic plant,,,,,,,yes,,,,,,,,,,,,DFO SLRA 2014,,,,,,,
Sagittaria natans,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Cohen et al. 2007,,,,,,,
Sagittaria platyphylla,Delta arrowhead,arrowhead,aquatic plant,,,no,,,,yes,,,,,,,,,,,,"DFO SLRA 2014, cohen et al. 2007",,,,,,,
Sagittaria,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,,
Sagittaria subulata,Awl-leaf arrowhead,arrowhead,aquatic plant,,,,no,,,yes,,,,,,,,,,,,"DFO SLRA 2014, Azan et al. 2015, cohen et al. 2007",Azan et al. 2015,,Moderately Low,,,,
Salvinia auriculata,eared watermoss,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Keller and Lodge 2007,,,,,,,
Salvinia oblongifolia,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,,
Scirpus,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,,
Sisyrinchium californicum ,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,,
Spathiphyllum,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,High,,,,
Spathiphyllum wallisii OR Stenospermatium popatenense var. wallisii,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,,
Syngonium,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,,
Taxiphyllum barbieri,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,High,,,,
Taxiphyllum,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately High,,,,
Teucrium scordium,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,High,,,,
Thalia dealbata,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately High,,,,
Thalia geniculata,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,,
Tonina fluviatilis OR Hyphydra amplexicaulis OR Tonina fluviatilis f. parvifolia,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,,
Tonina,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,,
Trapa bicornis,Horn nut,nut,aquatic plant,,,no,,,,yes,,,,,,,,,,,,DFO SLRA 2014,,,,,,,
Trapa natans,water chestnut,,aquatic plant,,,yes,,,,,yes,,,,,,,,,,,Keller and Lodge 2007,,,,,,,
Tulbaghia,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,,
Tulbaghia violacea,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,,
typha angustifolia,narrow-leaved cattail,,aquatic plant,,,yes,,,,yes,,,,,,,,,,,,Keller and Lodge 2007,,,,,,,montana
Typha minima,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,High,,,,
Typha,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately High,,,,
Utricularia graminifolia,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,,
Vallisneria americana,American tapegrass,tapegrass,aquatic plant,yes,,,no,,,,,,,,,,,,,,,"BC Ministry List, Cohen et al. 2007",,,,,,,
Vallisneria asiatica ,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Cohen et al. 2007,,,,,,,
Vallisneria gigantea,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Cohen et al. 2007,,,,,,,
Vallisneria rubra OR Maidenia rubra,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately High,,,,
Vallisneria,Tapegrass,Tapegrass,aquatic plant,yes,,,no,,,,,,,,,,,,,,,"BC Ministry List, Azan et al. 2015",Azan et al. 2015,,Moderately High,,,,
Vallisneria spiralis ,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Cohen et al. 2007,,,,,,,
Vallisneria torta ,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Cohen et al. 2007,,,,,,,
Veronica anagallis-aquatica,Blue water speedwell,speedwell,aquatic plant,yes,,,no,,,,,,,,,,,,,,,BC Ministry List,,,,,,,
Vesicularia dubyana,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,"Azan et al. 2015, Cohen et al. 2007",Azan et al. 2015,,Moderately High,,,,
Vesicularia montagnei,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,,
Wolffia brasiliensis,Brazilian watermeal,watermeal,aquatic plant,,,yes,,,,yes,,,,,,,,,,,,DFO SLRA 2014,,,,,,,
Zephyranthes candida,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,,
Zizania aquatica,Wild rice,rice,aquatic plant,yes,,,no,,,,,,,,,,,,,,,BC Ministry List,,,,,,,
Zostera japonica,Japanese eel-grass,grass,aquatic plant,yes,,,no,,,,,,,,,,,,,,,BC Ministry List,,,,,,,
Abramites hypselonotus ,,,fish,,,,,,,,,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Acanthocobitis botia ,,,fish,,,,,,,,,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Acantopsis choirorhynchos ,,,fish,,,,,,,,,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Acarichthys heckelii ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Acestrorhynchus falcatus,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Acipenser transmontanus ,white sturgeon,sturgeon,fish,,,,,"Oregon, California",,,,,,yes,,,,,,,,"Crossman 1991, DFO aquaculture liscences",,,Import,,,,
Aequidens latifrons ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Aequidens pulcher ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Aequidens rivulatus ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Alcolapia alcalicus ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Alestopetersius caudalis ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Alestopetersius smykalai ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Alosa mediocris,Hickory shad,shad,fish,,,,,,No,,,,,,,,,,,,,Therriault and Webb 2017,Therriault and Webb 2017,,,,,,
Alosa sapidissima,American shad,shad,fish,,yes,yes,,USA,,,,,,,,,,,,yes,,"Crossman 1991, BC Ministry List",,,"Authorized Introduction, spread of invasive from USA",,"Fraser river, Le Mare Lake, Skeena river, sooke inlet, trevor channel, georgia strait, cheakamus river, little sand creek, hunter creek, marshall creek, nicola river, thompson river, williamson lake",,
Altolamprologus calvus ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Altolamprologus compressiceps ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Amatitlania nigrofasciata ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Amblyeleotris gymnocephala ,,,fish,,,,,,,,,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Ameiurus melas,Black bullhead,bullhead,fish,,yes,yes,,,,,,,yes,,,,,,,yes,Montana,"Crossman 1991, BC Ministry List, Keller and Lodge 2007",,Clancy and Bourret 2020,"Unintentional, invasive as a result of man's cations (canals etc), including after intential reslease elsewhere (e.g. USA)",,"dala river, elk lake, shawnigan lake, ",,
Ameiurus nebulosus ,Brown bullhead,bullhead,fish,,yes,yes,,,Yes,,,,,,,,,,,yes,"Montana, Washington","Crossman 1991, Mandrak et al 2014, Therriault and Webb 2017, BC Ministry List",Therriault and Webb 2017,"Clancy and Bourret 2020, Bonar et al. 2005","Authorized Introduction, Unintentional, invasive as a result of man's cations (canals etc), including after intential reslease elsewhere (e.g. USA)",,,,
Ameiurus platycephalus ,Flat bullhead,bullhead,fish,,,,,,Yes,,,,,,,,,,,yes,Montana,Therriault and Webb 2017,Therriault and Webb 2017,Clancy and Bourret 2020,,,,,
Ameriurus brunneus,Snail bullhead,bullhead,fish,,,,,,Yes,,,,,,,,,,,yes,Montana,Therriault and Webb 2017,Therriault and Webb 2017,Clancy and Bourret 2020,,,,,
Ameriurus natalis,Yellow bullhead,bullhead,fish,yes,,,,,,,,,,,,,,,,yes,Montana,BC Ministry List,,Clancy and Bourret 2020,,,,,
Amia calva,bowfin,bowfin,fish,,,,,Ontario,,,,,,,,,,,,,,Crossman 1991,,,Import,,,,
Amphilophus citrinellus ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Amphilophus labiatus ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Anabas testudineus ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Anguilla australis ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Anguilla bicolor ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Anguilla japonica ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Anguilla rostrata ,American eel,eel,fish,,,yes,,"Newfoundland, Quebec, NY",,,yes,yes,,,,,,,,,,"Crossman 1991, Mandrak et al 2014",,,import (in transit),,,,
Anomalochromis thomasi ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Anostomus anostomus ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Aphyocharax anisitsi ,Bloodfin tetra,,fish,,,,,,,,yes,,,,,,,,,,,"Mandrak et al. 2014, Gertzen et al. 2007",,,not climate match to canada,family not a match,,,
Aphyocharax paraguayensis ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Aphyocharax rathbuni ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Aphyosemion australe ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Aphyosemion filamentosum ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Aphyosemion gabunense ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Aphyosemion striatum ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Apistogramma agassizii ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Apistogramma atahualpa ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Apistogramma bitaeniata ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Apistogramma borellii ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Apistogramma cacatuoides ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Apistogramma commbrae ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Apistogramma cruzi ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Apistogramma eunotus ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Apistogramma gibbiceps ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Apistogramma hongsloi ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Apistogramma linkei ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Apistogramma macmasteri ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Apistogramma nijsseni ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Apistogramma panduro ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Apistogramma piauiensis ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Apistogramma trifasciata ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Apistogramma tucurui ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Apistogramma viejita ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Aplocheilichthys myersi ,,,fish,,,,,,,,,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
